case_num,config_id,mean_composite,trial_seconds,retriever,embedding_model,chunk_strategy,chunk_size,rerank_enabled,rerank_top_k,query_rewrite_enabled,query_decompose_enabled,query_hyde_enabled,intent_driven_filter,metadata_filter_enabled,metadata_enrichment,prompt_template,max_new_tokens,context_recall,answer_similarity,faithfulness,retrieval_coverage_proxy,groundedness,citation_quality,answer_relevancy,context_relevancy,signal_quality,composite_no_judge,judge_weight,judge_score,query_program_depth,query_rewrite_usage,decompose_branch_count,hyde_usage,metadata_filter_hit_rate,metadata_bonus_avg,entity_match_rate,rrf_fusion_gain,citation_completeness,citation_binding
1,cfg_00000,0.5703,28.1711,hybrid,e5-base,token,128,False,10,True,False,False,True,False,False,standard,128,0.595,0.9228,0.412,0.0,0.0,0.0,0.325,0.0646,1.0,0.576,0.01,0.0,2.0,0.25,0.0,0.0,0.0,0.0,0.0,0.031,1.0,0.75
1,cfg_00001,0.5948,9.901,bm25,e5-base,sentence,256,False,3,False,True,False,False,True,False,strict_no_hallucination,256,0.5705,0.9125,0.5213,0.0,0.0,0.0,0.2912,0.0691,1.0,0.6008,0.01,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,1.0
1,cfg_00002,0.3789,14.8199,dense,bge-small,semantic,128,True,5,False,True,False,False,True,False,strict_no_hallucination,256,0.3632,0.879,0.1808,0.0,0.0,0.0,0.3081,0.0376,1.0,0.3827,0.01,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.625,0.0
1,cfg_00003,0.4119,10.5466,dense,e5-base,sentence,512,False,5,False,False,False,False,False,True,strict_no_hallucination,128,0.4111,0.876,0.2195,0.0,0.0,0.0,0.2507,0.0314,1.0,0.4161,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0033,0.0417,0.0,0.875,0.25
1,cfg_00004,0.5377,9.6642,bm25,bge-small,sentence,128,False,10,True,True,False,True,False,False,strict_no_hallucination,256,0.5705,0.9204,0.3439,0.0,0.0,0.0,0.3185,0.0691,1.0,0.5406,0.01,0.25,3.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.875,0.5
1,cfg_00005,0.4362,11.1466,dense,e5-base,token,512,True,3,False,True,False,False,True,True,strict_no_hallucination,128,0.3581,0.8789,0.3547,0.0,0.0,0.0,0.2691,0.0605,1.0,0.4406,0.01,0.0,1.0,0.0,0.0,0.0,0.0,0.0033,0.0417,0.0,0.675,0.25
1,cfg_00006,0.6143,12.5096,hybrid,e5-base,sentence,256,False,3,True,False,False,True,False,True,standard,256,0.595,0.9014,0.556,0.0,0.0,0.0,0.2129,0.0646,1.0,0.6205,0.01,0.0,2.0,0.25,0.0,0.0,0.0,0.0033,0.0417,0.031,0.5,1.0
1,cfg_00007,0.5953,14.2527,bm25,bge-small,sentence,512,False,10,False,False,False,True,True,False,strict_no_hallucination,256,0.5705,0.9138,0.5222,0.0,0.0,0.0,0.2923,0.0691,1.0,0.6013,0.01,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,1.0
1,cfg_00008,0.4115,36.3802,dense,bge-small,sentence,384,False,3,True,True,False,False,True,True,strict_no_hallucination,256,0.4111,0.8765,0.2183,0.0,0.0,0.0,0.2484,0.0314,1.0,0.4157,0.01,0.0,2.0,0.25,0.0,0.0,0.0,0.0033,0.0417,0.0,0.625,0.25
1,cfg_00009,0.5519,53.5795,bm25,bge-small,semantic,256,False,3,True,False,False,True,False,True,standard,128,0.5705,0.9161,0.3883,0.0,0.0,0.0,0.2955,0.0691,1.0,0.5549,0.01,0.25,2.0,0.25,0.0,0.0,0.0,0.0033,0.0417,0.0,0.625,0.5
1,cfg_00010,0.4371,53.9738,dense,e5-base,token,512,True,3,False,False,False,True,True,False,standard,256,0.3581,0.8628,0.369,0.0,0.0,0.0,0.2003,0.0605,1.0,0.4415,0.01,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.325,0.25
1,cfg_00011,0.5854,25.7498,hybrid,e5-base,token,512,True,5,False,False,False,False,True,True,standard,128,0.551,0.9025,0.5187,0.0,0.0,0.0,0.2577,0.0752,1.0,0.5888,0.01,0.25,0.0,0.0,0.0,0.0,0.0,0.0033,0.0417,0.031,0.825,1.0
1,cfg_00012,0.5929,12.8594,bm25,e5-base,sentence,384,True,10,True,True,False,True,True,True,standard,256,0.5705,0.8932,0.5289,0.0,0.0,0.0,0.2254,0.0691,1.0,0.5989,0.01,0.0,3.0,0.25,0.0,0.0,0.0,0.0033,0.0417,0.0,0.6071,0.75
1,cfg_00013,0.5364,10.5698,bm25,e5-base,token,256,True,10,True,False,False,False,False,False,strict_no_hallucination,256,0.5705,0.9201,0.3397,0.0,0.0,0.0,0.327,0.0691,1.0,0.5393,0.01,0.25,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5
